text_id,speaker_id,gender,topics,conv_id,turn,text,length,age_cat,clean_text,label,trigram_pred
9986,S0120,M,"['internet', 'work', 'politics', 'weather', 'cooking', 'health', 'house prices']",S72Q,558,three thousand words by the twenty-second of February,8,19_29,three thousand words by the twenty-second of february,0,1
57265,S0058,F,"['dancing lessons', 'holidays', 'old english', 'university work', 'tv shows', 'ageism', 'celebrities', 'friends', 'charities', 'the route for the journey', 'football', 'medicine', 'cars', 'lovefilm', 'metric and imperial', 'song lyrics.']",SVH7,537,what by driving around?,5,19_29,what by driving around?,0,0
35612,S0202,F,"['internet followers', 'people leaving', 'along', 'talking about other friends']",SKPP,778,I know what you mean,5,19_29,i know what you mean,0,0
36259,S0041,F,"['friendships', 'exercise', 'work ']",SLDB,380,like if I have to go on with the kids if I have to go in with the kids I'm not going to take it seriously,27,19_29,like if i have to go on with the kids if i have to go in with the kids i'm not going to take it seriously,0,0
45709,S0524,M,"['career details as a producer for the bbc', 'natural history', 'looking at photography', 'talking about how perception is different in each individual. comparing experiences.']",SPY2,117,yeah,1,50_plus,yeah,1,0
13240,S0195,M,"['linguistics recording', 'friends', 'pregnancy', 'reunions', 'colloquialisms', 'post', 'chores', 'money and budgets', 'salary', 'marriage', 'joint bank accounts', 'south korea', 'education', 'tv', 'shopping', 'weather', 'childbirth', 'children', 'future plans', 'living abroad', 'university', 'form filling', 'accent', 'spanish', 'cigarettes', 'cost of living', 'old jobs', '']",S97Z,1336,I have to say,4,19_29,i have to say,0,1
50620,S0247,F,['how hard it is to learn spanish / different language learning methodologies / nations where people speak two languages (catalan/castillian etc.) '],SRDJ,171,mm mm,2,50_plus,mm mm,1,1
12181,S0680,F,"['the great british sewing bee bbc tv programme', 'mum’s sewing', 'clothes mum made for sue in the 60s and 70s', '60s haircuts', 'car parking in central london']",S8SH,218,and then that was erm had erm darts and darts from the waist so the bodice was fitted erm and it had a it was waisted and it had erm I think it it wasn't it had a slightly flared skirt because it that again was erm was it it wasn't it might have been Tricel there was another word for er it was a man-made fibre but it didn't screw up or anything it was and it was thin,83,50_plus,and then that was erm had erm darts and darts from the waist so the bodice was fitted erm and it had a it was waisted and it had erm i think it it wasn't it had a slightly flared skirt because it that again was erm was it it wasn't it might have been tricel there was another word for er it was a man-made fibre but it didn't screw up or anything it was and it was thin,1,1
22743,S0242,M,"['scruffy clothes', 'breakfast', 'fruit farms', 'deserted medieval villages', 'roadworks', 'jam', 'coffee', 'growing herbs', 'old people', 'junk mail', 'phones', ""selling anon's old house""]",SDHU,363,right yeah,2,50_plus,right yeah,1,1
17184,S0281,M,"['food', 'china', 'laptop']",S9ZP,349,very er only er a hundred pound each a month,10,50_plus,very er only er a hundred pound each a month,1,0
40024,S0013,F,['no info'],SMF3,662,yeah,1,50_plus,yeah,1,0
18385,S0198,F,"['university', 'linguistics', 'timetabling', 'tuition fees', 'research', 'lecturers', 'language classes', 'food', 'cooking', 'vegetarianism', 'animal treatment', 'food preparation', 'studying', 'dinner', 'supermarkets', 'languages', 'lunch', 'food combinations', 'south korea', 'men and women in south korea', 'festivals', 'china', 'travel', 'computer games for sale', 'family', 'back gardens', 'flats.']",SB9K,562,"well put it down here now it's gone <pause dur=""short"" /> alright?",11,19_29,"well put it down here now it's gone <pause dur=""short"" /> alright?",0,1
66210,S0450,F,"['food', 'holidays', 'memories', 'catching-up', 'work', 'home-life', 'parents', 'family', 'friends', 'future plans.  ']",SZQX,1292,er but in the last year or since I started five of them have gone travelling,16,19_29,er but in the last year or since i started five of them have gone travelling,0,1
59144,S0426,M,"['safari-type wildlife holiday', 'university students', '(disertation supervisees); teaching arrangements; job advertisments & applicants']",SX6V,126,okay okay right,3,50_plus,okay okay right,1,1
26030,S0253,M,"['museums', 'parking', 'work', 'shopping', 'weddings', 'moving house', 'christmas and presents', 'interview for a masters', 'money', 'future plans', 'pets']",SESD,81,"mm <pause dur=""short"" /> I'm not sure",5,19_29,"mm <pause dur=""short"" /> i'm not sure",0,0
62239,S0282,F,['what to do for the tape. consultation process. business case. rationale for location of new project. organisation of local health services. relationships with hospices. patient health. nursing of people at end of life. politics and geography. health budgets. use of estate agents. what new building might look like.'],SY5K,316,<trunc>spec</trunc>speculate <unclear>on it</unclear>,1,50_plus,<trunc>spec</trunc>speculate <unclear>on it</unclear>,1,1
28211,S0192,M,"['the weekend', 'work', 'chichester', 'family', 'british national corpus', 'linguistics', 'pay day', 'colleagues', 'photos', 'names', 'hometowns', 'personal information', 'divorce', 'musicals', 'theatre', 'university', 'malaysian dialect', 'time off', 'judge judy', 'grades', 'creative writing', 'undergraduate degrees', 'novel writing', 'grammar', 'referencing', 'fireworks', 'money & budgets', 'supervisor position', 'coffee', 'schedules', 'greece', 'friends & family', 'tefl', 'tuitions fees', 'student loans', ""master's degrees"", 'boyfriends', 'relationships', 'proposal', 'marriage', 'siblings', 'passives', 'hair', 'cheating ']",SFNQ,796,so yeah I got seventy-two in that module,8,19_29,so yeah i got seventy-two in that module,0,0
32816,S0680,F,"['orchids', 'birthday cakes', 'school dinners', 'other stuff about our senior school', 'shopping in east kent', 'shopping in cambridge', 'cambridge university', 'plans for the afternoon']",SHHX,1067,yes I can't think of anything else that you were immediately going to <unclear />,15,50_plus,yes i can't think of anything else that you were immediately going to <unclear />,1,1
7774,S0281,M,['bringing my daughter from abroad to live here'],S5ER,687,mm,1,50_plus,mm,1,1
41887,S0012,M,['no info'],SNCM,228,oh dear,2,50_plus,oh dear,1,1
17693,S0447,M,"['exercise', 'phones', 'writing', 'post', 'theatre', 'work', 'tv', 'halloween', 'food', 'toilets', 'ghosts', 'exams', 'alcohol', 'future plans', 'songs', 'uni', 'manchester', 'cars', 'recruitment', 'sleeping']",SAG4,432,no well whatever at least I've read it,9,19_29,no well whatever at least i've read it,0,0
8154,S0441,F,"['holiday', 'great north run', 'newcastle', 'netball', 'sport', 'food', 'friends', 'catch-up']",S5YC,837,but people are still <unclear />,5,19_29,but people are still <unclear />,0,0
45436,S0281,M,"['health', 'green party', 'jobs', 'boot sales', 'relationships.']",SPTQ,351,why not?,3,50_plus,why not?,1,0
17735,S0447,M,"['exercise', 'phones', 'writing', 'post', 'theatre', 'work', 'tv', 'halloween', 'food', 'toilets', 'ghosts', 'exams', 'alcohol', 'future plans', 'songs', 'uni', 'manchester', 'cars', 'recruitment', 'sleeping']",SAG4,629,what?,2,19_29,what?,0,0
66402,S0439,F,"['food', 'holidays', 'memories', 'catching-up', 'work', 'home-life', 'parents', 'family', 'friends', 'future plans.  ']",SZQX,2061,if you don't take it as like a personal attack on people,13,19_29,if you don't take it as like a personal attack on people,0,0
11156,S0264,M,"['work', 'new technology']",S7QY,313,and they've got concrete,5,50_plus,and they've got concrete,1,1
38323,S0486,F,"['visit to china', 'people canoeing on the river exe', 'politics in china', 'and population concerns in england', 'losing our national identity.']",SLMB,580,right,1,50_plus,right,1,1
41837,S0012,M,['no info'],SNCM,178,yeah she used to come through and have,8,50_plus,yeah she used to come through and have,1,1
35269,S0281,M,"['buses', ""day's activities"", 'pension', 'sleep']",SKNF,385,and then back to the bus stop and just up here so I actually didn't do a lot of walking but I've been doing something all morning,29,50_plus,and then back to the bus stop and just up here so i actually didn't do a lot of walking but i've been doing something all morning,1,0
8403,S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,954,it was erm that other game you were trying to play wasn't it that wasn't working?,19,19_29,it was erm that other game you were trying to play wasn't it that wasn't working?,0,1
12604,S0679,F,"['the great british sewing bee bbc tv programme', 'mum’s sewing', 'clothes mum made for sue in the 60s and 70s', '60s haircuts', 'car parking in central london']",S8SH,641,oh have you? oh,5,50_plus,oh have you? oh,1,1
1713,S0238,F,"['hand-thrown mugs', 'milk', 'weather', 'spiders', 'gardening (several times)', 'power cuts', 'birds', 'decorating', 'some friends of anon', 'a local festival', 'an accident in the home']",S2UT,521,yeah but as I say I would have had two because I'd have been alternating so I don't know but,22,50_plus,yeah but as i say i would have had two because i'd have been alternating so i don't know but,1,1
29968,S0529,F,"['difficulties at coping with university', 'anon’s low attendance', 'anon’s medication', 'children’s films', 'cinemas ']",SG4R,559,"you know like <pause dur=""short"" /> stuff like that I dunno it's just doesn't",15,19_29,"you know like <pause dur=""short"" /> stuff like that i dunno it's just doesn't",0,0
4119,S0248,M,"['superstitions / good luck / bad luck / sporting rituals', 'lucky charms', 'etc.']",S3TD,4,"erm I believe in good luck and bad but I know it's something you can just perceive you you can get down on yourself and think erm you know I never get any luck <pause dur=""short"" /> but I and I and I believe statements like I make your own luck certainly <pause dur=""short"" /> but just outrageous bits of bad fortune <trunc>y</trunc> don't happen to everyone the an accident",65,50_plus,"erm i believe in good luck and bad but i know it's something you can just perceive you you can get down on yourself and think erm you know i never get any luck <pause dur=""short"" /> but i and i and i believe statements like i make your own luck certainly <pause dur=""short"" /> but just outrageous bits of bad fortune <trunc>y</trunc> don't happen to everyone the an accident",1,1
15459,S0268,M,['local politics - planning applications; arrangements to attend a forthcoming planning'],S9HC,73,"got you <pause dur=""short"" /> yeah okay",4,50_plus,"got you <pause dur=""short"" /> yeah okay",1,1
13836,S0012,M,['no info'],S9DE,457,yeah you'll be chasing them with a camera now won't you?,14,50_plus,yeah you'll be chasing them with a camera now won't you?,1,1
64606,S0084,F,"['films', 'family']",SZ7Y,562,mm,1,19_29,mm,0,1
5975,S0254,F,"['housework', 'advertising', 'television', 'smoking', 'car boot sales', 'nlp', 'mobile phones', 'online shopping', 'crime', 'dieting', 'food', 'dyslexia', 'journalism', 'anon’s job', 'plans for the week']",S4YQ,478,yeah,1,19_29,yeah,0,0
51726,S0439,F,"['sport', 'food', 'friends', 'catch-up', 'ex-boyfriends', 'family', 'work']",SRRS,93,"no <pause dur=""short"" /> like the fridge is shit we probably should sellotape it with some Sellotape that isn't colourful so it <vocal desc=""laugh"" />",20,19_29,"no <pause dur=""short"" /> like the fridge is shit we probably should sellotape it with some sellotape that isn't colourful so it <vocal desc=""laugh"" />",0,0
56236,S0041,F,"['food', 'identity', 'friends']",SV2V,1701,"then I'll have a lie-in <pause dur=""short"" /> cos I was up at what time was I up this morning? Half seven?",22,19_29,"then i'll have a lie-in <pause dur=""short"" /> cos i was up at what time was i up this morning? half seven?",0,0
28983,S0486,F,"['work and childhood', 'general life.']",SFYX,69,oh,1,50_plus,oh,1,0
5516,S0248,M,['museums / imax and 3d cinema / public transport'],S4VJ,113,and do people sit with <trunc>gla</trunc> these glasses on do they?,11,50_plus,and do people sit with <trunc>gla</trunc> these glasses on do they?,1,1
44753,S0486,F,"['control systems', 'mg cars', 'work ethics', 'getting things done.']",SPM5,181,mm,1,50_plus,mm,1,1
58324,S0428,F,"['holidays', 'jobs', 'family', 'visiting countries']",SWD7,104,"<vocal desc=""laugh"" />",0,19_29,"<vocal desc=""laugh"" />",0,0
44993,S0486,F,"['control systems', 'mg cars', 'work ethics', 'getting things done.']",SPM5,421,right,1,50_plus,right,1,1
26638,S0679,F,"['making a shopping list', 'ages on birthday cards', 'buying calendar fobs', 'art and craft at school', 'other things from primary school', 'hockey boots', 'subjects for study at university – sound recording', 'wider take on social history', 'changes in computers and computing', 'passing computers to computing museum', 'volunteering at computing museum']",SEVC,206,mm,1,50_plus,mm,1,1
49158,S0281,M,"['scottish referendum', 'job interview', 'colleague', 'my daughter', 'present personal situation.']",SQWW,181,er of how he's er an agent for all these different organisations,13,50_plus,er of how he's er an agent for all these different organisations,1,1
43885,S0013,F,['no info'],SP5U,83,yeah,1,50_plus,yeah,1,0
45904,S0524,M,"['career details as a producer for the bbc', 'natural history', 'looking at photography', 'talking about how perception is different in each individual. comparing experiences.']",SPY2,312,and if I describe I describe it as,8,50_plus,and if i describe i describe it as,1,1
27465,S0012,M,['no info'],SF6K,381,it was yeah the only thing we didn't have to pay for was the parking,16,50_plus,it was yeah the only thing we didn't have to pay for was the parking,1,1
58571,S0427,M,"['home decorating', 'bathrooms', 'tradespeople', 'kitchens; talk about friends']",SWW8,19,and he's done downstairs as well erm,8,50_plus,and he's done downstairs as well erm,1,1
37686,S0679,F,"['discussing the past day', 'wicken fen nature reserve', 'online banking', 'savings and interest', 'housing and issues', 'issues about dave’s front door and door keys', 'mapping genotypes', 'planning the next day', 'christmas cards', 'choosing and delivering a christmas present to friend', 'issues with my mobility rollator', 'changing battery in electric candle', 'christmas lists']",SLJ5,776,well maybe,2,50_plus,well maybe,1,1
41782,S0013,F,['no info'],SNCM,123,they always want to be vets as well don't they?,12,50_plus,they always want to be vets as well don't they?,1,1
66048,S0439,F,"['food', 'holidays', 'memories', 'catching-up', 'work', 'home-life', 'parents', 'family', 'friends', 'future plans.  ']",SZQX,678,should,1,19_29,should,0,0
6496,S0427,M,['home decorating; academic research project funding; coffee; italy; water companies; hadron collider'],S55B,340,I don't think you often see it written up on,11,50_plus,i don't think you often see it written up on,1,1
65320,S0012,M,['no info'],SZBV,341,yeah,1,50_plus,yeah,1,0
