text_id,speaker_id,gender,topics,conv_id,turn,text,length,label,clean_text,age_cat
24995,S0635,M,"['honeymoon', 'usa', 'iceland', 'boston', 'portland maine', 'family', 'california road trip', 'san francisco', 'la', 'camping', 'hotels', 'motels', 'national parks', 'desert', 'outsider art', 'food.']",SEGJ,1740,mm,1,19_29,mm,0
22063,S0486,F,"['military experience', 'career', 'meeting his wife', 'places in taunton.']",SDEX,119,mm,1,50_plus,mm,1
53560,S0439,F,"['gym', 'holidays', 'nights out', 'food', 'friends', 'catch-up', 'ex-boyfriends', 'work', 'health', 'future plans']",STKV,1263,you know I think you probably could get bored,9,19_29,you know i think you probably could get bored,0
56350,S0041,F,"['food', 'identity', 'friends']",SV2V,2256,"<vocal desc=""laugh"" />",0,19_29,"<vocal desc=""laugh"" />",0
21572,S0450,F,"['food', 'work', 'holidays', 'ex-boyfriends', 'relationships. ']",SD92,1025,no,1,19_29,no,0
61922,S0084,F,"['exercise', 'relationships']",SXWH,871,Cos it's towels,4,19_29,cos it's towels,0
23224,S0015,F,"['recent news', 'personal situation']",SDJ9,120,definitely I did I told you that when you were home that I bought in some for my teacher's pension I bought in four years that I'd missed paying to to erm and from from point of view my college had to pay as well so it was a really worthwhile,53,50_plus,definitely i did i told you that when you were home that i bought in some for my teacher's pension i bought in four years that i'd missed paying to to erm and from from point of view my college had to pay as well so it was a really worthwhile,1
14531,S0355,M,"['scottish referendum', 'job interview', 'colleague', 'my daughter', 'present personal situation.']",S9EP,336,yeah well I don't think it's scabies if that was scabies fucking hell I'd be running for the door,22,50_plus,yeah well i don't think it's scabies if that was scabies fucking hell i'd be running for the door,1
23008,S0242,M,"['scruffy clothes', 'breakfast', 'fruit farms', 'deserted medieval villages', 'roadworks', 'jam', 'coffee', 'growing herbs', 'old people', 'junk mail', 'phones', ""selling anon's old house""]",SDHU,628,mm,1,50_plus,mm,1
49627,S0670,M,['science  general activities  anecdotes tv license studying jokes'],SR9W,70,uhu okay,2,19_29,uhu okay,0
54573,S0084,F,[],SU82,1063,mm,1,19_29,mm,0
57992,S0426,M,"[""how was your weekend; football players' young children; snooker players; gardening; marking students' work; entry ino the police force and the armed forces""]",SVN6,489,mm yeah well that's right that's right,9,50_plus,mm yeah well that's right that's right,1
29101,S0486,F,"['work and childhood', 'general life.']",SFYX,187,yes oh yes,3,50_plus,yes oh yes,1
23676,UNKFEMALE,F,"['recent news', 'personal situation']",SDJ9,572,yeah,1,50_plus,yeah,1
65515,S0266,F,['how to overcome problem of strings breaking; methods involved (including using cable ties); materials/dimensions/positioning/weight; costing; trailing the ideas; discussion on the use of the word ‘fleet’; use of product in primary school v. secondary school; cutting ear lobe and stripe in hair by mistake; marketing the idea; dragons’ den; resulting new haircut...'],SZNP,105,so that proved to you that primary schools don't <unclear /> same problem,13,50_plus,so that proved to you that primary schools don't <unclear /> same problem,1
63234,S0012,M,"['looking at pictures', 'dentists', 'gardening']",SYDJ,437,wasting time watching things,4,50_plus,wasting time watching things,1
43562,S0530,F,"['mental health', 'missing university seminars', 'university stress', 'the lottery', 'wealth']",SP3Q,52,"no yeah <pause dur=""short"" /> <vocal desc=""laugh"" /> <pause dur=""short"" /> hashtag <unclear>relational</unclear>",3,19_29,"no yeah <pause dur=""short"" /> <vocal desc=""laugh"" /> <pause dur=""short"" /> hashtag <unclear>relational</unclear>",0
38126,S0523,M,"['visit to china', 'people canoeing on the river exe', 'politics in china', 'and population concerns in england', 'losing our national identity.']",SLMB,383,yeah,1,50_plus,yeah,1
49738,S0671,M,['science  general activities  anecdotes tv license studying jokes'],SR9W,559,their nicknames it's like so one is one is erm,11,19_29,their nicknames it's like so one is one is erm,0
26482,S0680,F,"['making a shopping list', 'ages on birthday cards', 'buying calendar fobs', 'art and craft at school', 'other things from primary school', 'hockey boots', 'subjects for study at university – sound recording', 'wider take on social history', 'changes in computers and computing', 'passing computers to computing museum', 'volunteering at computing museum']",SEVC,50,and ask him if he's got any line on key <trunc>fo</trunc> <trunc>k</trunc>key fobs calendar,14,50_plus,and ask him if he's got any line on key <trunc>fo</trunc> <trunc>k</trunc>key fobs calendar,1
28682,S0281,M,"['estate agents', 'travelling']",SFPK,185,within the hour,3,50_plus,within the hour,1
930,S0679,F,"['computers', 'work colleagues in computing', 'furniture', 'discuss tidying up a house']",S2CY,90,like somebody else we know,5,50_plus,like somebody else we know,1
25628,S0179,M,[],SEKX,76,no,1,19_29,no,0
14681,S0281,M,"['scottish referendum', 'job interview', 'colleague', 'my daughter', 'present personal situation.']",S9EP,486,okay here's your here's your <trunc>st</trunc> here's here's your musical <trunc>st</trunc>,13,50_plus,okay here's your here's your <trunc>st</trunc> here's here's your musical <trunc>st</trunc>,1
42651,S0289,F,"['advice about renovation projects for historic buildings', 'bidding for funds', 'workable business plans']",SNXL,58,checking that the space was really needed and wanted,9,50_plus,checking that the space was really needed and wanted,1
23068,S0238,F,"['scruffy clothes', 'breakfast', 'fruit farms', 'deserted medieval villages', 'roadworks', 'jam', 'coffee', 'growing herbs', 'old people', 'junk mail', 'phones', ""selling anon's old house""]",SDHU,688,"er the coffee had been much a better suggestion and in the end I rang her up on the Monday morning to say look <pause dur=""short"" /> I've had a bad night with my indigestion which I had erm and I just think it's not a good idea sorry and she said right well I've ordered a taxi I'm going to go anyway <vocal desc=""laugh"" /> that's my auntie <anon nameType=""f"" type=""name"" /> for you I I <unclear /> for my lunch on my own because",81,50_plus,"er the coffee had been much a better suggestion and in the end i rang her up on the monday morning to say look <pause dur=""short"" /> i've had a bad night with my indigestion which i had erm and i just think it's not a good idea sorry and she said right well i've ordered a taxi i'm going to go anyway <vocal desc=""laugh"" /> that's my auntie <anon nametype=""f"" type=""name"" /> for you i i <unclear /> for my lunch on my own because",1
10600,S0529,F,"['the future and old age', 'art', 'essays', 'computer games']",S7NV,106,oh,1,19_29,oh,0
47724,S0650,M,"['birth of grandchild. being born abroad. what things are like in france: property', 'enterprise', 'land', 'anarchists and bureaucrats', 'french visitors to london. chichester cathedral spire collapsing. architect called porden. open day and photo exhibition. art competition. argument about bollards. local housing management: failings of new landlord. book being written by speaker no 2. british library. philip of spain and mary tudor: experience of visiting spanish archives. austrian battleship disaster. historians. ']",SQ37,766,"<vocal desc=""laugh"" /> he wrote to me and said would I sponsor him in the last round of local elections",17,50_plus,"<vocal desc=""laugh"" /> he wrote to me and said would i sponsor him in the last round of local elections",1
47008,S0650,M,"['birth of grandchild. being born abroad. what things are like in france: property', 'enterprise', 'land', 'anarchists and bureaucrats', 'french visitors to london. chichester cathedral spire collapsing. architect called porden. open day and photo exhibition. art competition. argument about bollards. local housing management: failings of new landlord. book being written by speaker no 2. british library. philip of spain and mary tudor: experience of visiting spanish archives. austrian battleship disaster. historians. ']",SQ37,50,"<anon nameType=""m"" type=""name"" />",1,50_plus,"<anon nametype=""m"" type=""name"" />",1
9879,S0120,M,"['internet', 'work', 'politics', 'weather', 'cooking', 'health', 'house prices']",S72Q,77,just a minute,3,19_29,just a minute,0
16155,S0284,M,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,118,"and erm mother's grandfather <pause dur=""short"" /> which actually explains <pause dur=""short"" /> explains a lot",11,50_plus,"and erm mother's grandfather <pause dur=""short"" /> which actually explains <pause dur=""short"" /> explains a lot",1
40716,S0427,M,"['rugby payers', 'rugby world cup', 'wales rugby', 'football partnership']",SMRU,112,yeah,1,50_plus,yeah,1
28763,S0015,F,"['estate agents', 'travelling']",SFPK,266,alright <unclear />,2,50_plus,alright <unclear />,1
47797,S0282,F,"['birth of grandchild. being born abroad. what things are like in france: property', 'enterprise', 'land', 'anarchists and bureaucrats', 'french visitors to london. chichester cathedral spire collapsing. architect called porden. open day and photo exhibition. art competition. argument about bollards. local housing management: failings of new landlord. book being written by speaker no 2. british library. philip of spain and mary tudor: experience of visiting spanish archives. austrian battleship disaster. historians. ']",SQ37,839,ah,1,50_plus,ah,1
11867,S0202,F,['bad mouthing parents'],S8RY,145,yeah like that's,4,19_29,yeah like that's,0
55125,S0084,F,[],SU82,3463,"bargainous flight in the world <pause dur=""short"" /> so then when I when I had to pay like a grand to fly to Australia",21,19_29,"bargainous flight in the world <pause dur=""short"" /> so then when i when i had to pay like a grand to fly to australia",0
45674,S0486,F,"['career details as a producer for the bbc', 'natural history', 'looking at photography', 'talking about how perception is different in each individual. comparing experiences.']",SPY2,82,true yeah,2,50_plus,true yeah,1
27643,S0275,F,"['music', 'the internet', 'tv shows', 'men', 'celebrities', 'weekend activities', 'friends', 'disney movies', 'cafes', 'football', 'instagram', 'going out', 'university', 'family', 'sleep', 'cartoons', 'tattoos', 'pizza.']",SFJ2,129,yeah,1,19_29,yeah,0
63013,S0013,F,"['looking at pictures', 'dentists', 'gardening']",SYDJ,216,there'll always be English bluebells though I don't think they'll,13,50_plus,there'll always be english bluebells though i don't think they'll,1
23645,S0281,M,"['recent news', 'personal situation']",SDJ9,541,oh yeah,2,50_plus,oh yeah,1
44506,S0133,F,"['films', 'tv', 'iphones', 'work']",SP79,694,they think he had an affair with James Dean,9,19_29,they think he had an affair with james dean,0
28787,S0428,F,"['work', 'plans', 'holidays', 'travel', 'norway']",SFR2,127,"is that <anon type=""place"" /> or?",5,19_29,"is that <anon type=""place"" /> or?",0
972,S0679,F,"['computers', 'work colleagues in computing', 'furniture', 'discuss tidying up a house']",S2CY,132,and everything's got a computer in it these days hasn't it?,14,50_plus,and everything's got a computer in it these days hasn't it?,1
53492,S0439,F,"['gym', 'holidays', 'nights out', 'food', 'friends', 'catch-up', 'ex-boyfriends', 'work', 'health', 'future plans']",STKV,1000,yeah,1,19_29,yeah,0
40949,S0426,M,"['rugby payers', 'rugby world cup', 'wales rugby', 'football partnership']",SMRU,345,they're in there as well so I mean <unclear />,10,50_plus,they're in there as well so i mean <unclear />,1
2130,S0671,M,"['music; bands', 'drumming', 'live and albums', 'mutual friends', 'internships', 'plans ']",S2YK,756,okay yeah,2,19_29,okay yeah,0
3024,S0192,M,"['smoking cigarettes', 'moving apartments', 'future plans', 'university', 'family', 'inventory', 'music', 'extended family', 'marriage', 'living in south korea', 'friends', 'elt methodology', 'language', 'cooking', 'alcohol', 'making arrangements', 'driving', 'travelling.  ']",S38V,703,are we gonna prepare the chilli con carne after?,11,19_29,are we gonna prepare the chilli con carne after?,0
7558,S0015,F,['bringing my daughter from abroad to live here'],S5ER,471,"erm and erm <pause dur=""short"" /> usually what they would do is they'd give some children the responsibility of being <trunc>hom</trunc> a mentor you know a couple of children just show her round and look after her in school and be her mentor in school so for missing September it's not like it's",52,50_plus,"erm and erm <pause dur=""short"" /> usually what they would do is they'd give some children the responsibility of being <trunc>hom</trunc> a mentor you know a couple of children just show her round and look after her in school and be her mentor in school so for missing september it's not like it's",1
13184,S0192,M,"['linguistics recording', 'friends', 'pregnancy', 'reunions', 'colloquialisms', 'post', 'chores', 'money and budgets', 'salary', 'marriage', 'joint bank accounts', 'south korea', 'education', 'tv', 'shopping', 'weather', 'childbirth', 'children', 'future plans', 'living abroad', 'university', 'form filling', 'accent', 'spanish', 'cigarettes', 'cost of living', 'old jobs', '']",S97Z,1103,mm they do,3,19_29,mm they do,0
38363,S0486,F,"['visit to china', 'people canoeing on the river exe', 'politics in china', 'and population concerns in england', 'losing our national identity.']",SLMB,620,that's amazing,3,50_plus,that's amazing,1
27346,S0013,F,['no info'],SF6K,262,Dusky or Thistle?,4,50_plus,dusky or thistle?,1
10369,S0355,M,"['religion', 'international events', 'life', 'education.']",S7K2,304,what's that?,4,50_plus,what's that?,1
33633,S0041,F,[],SJLT,1250,in the head,3,19_29,in the head,0
15781,S0268,M,['local politics - planning applications; arrangements to attend a forthcoming planning'],S9HC,395,oh I dunno where it is though what about Liverpool?,13,50_plus,oh i dunno where it is though what about liverpool?,1
22882,S0242,M,"['scruffy clothes', 'breakfast', 'fruit farms', 'deserted medieval villages', 'roadworks', 'jam', 'coffee', 'growing herbs', 'old people', 'junk mail', 'phones', ""selling anon's old house""]",SDHU,502,yeah yeah,2,50_plus,yeah yeah,1
7110,S0281,M,['bringing my daughter from abroad to live here'],S5ER,23,so to say that nobody else can apply on your behalf,11,50_plus,so to say that nobody else can apply on your behalf,1
58859,S0427,M,"['home decorating', 'bathrooms', 'tradespeople', 'kitchens; talk about friends']",SWW8,307,"and I think <unclear /> it it's more modern I mean this kitchen's probably only about er ten or eleven years old <pause dur=""short"" /> but you see the appliances look sad and tired and I don't want one where I've gotta bend down to open the you know the oven anymore I want I want an oven at <pause dur=""short"" /> at eyesight level and I want a hob that's at the same level as the work space",78,50_plus,"and i think <unclear /> it it's more modern i mean this kitchen's probably only about er ten or eleven years old <pause dur=""short"" /> but you see the appliances look sad and tired and i don't want one where i've gotta bend down to open the you know the oven anymore i want i want an oven at <pause dur=""short"" /> at eyesight level and i want a hob that's at the same level as the work space",1
55580,S0192,M,"['new apartments', 'things to buy', 'things to do', 'connecting the internet', 'food', 'rubbish collection', 'cooking', 'seasonal produce', 'smoking cigarettes', 'the nursery next door', 'banking']",SV28,319,erm,1,19_29,erm,0
19301,S0530,F,"['the future and old age', 'art', 'essays', 'computer games']",SCS9,19,with my hand,3,19_29,with my hand,0
46076,S0524,M,"['career details as a producer for the bbc', 'natural history', 'looking at photography', 'talking about how perception is different in each individual. comparing experiences.']",SPY2,484,Dali?,2,50_plus,dali?,1
9626,S0530,F,"['the day', 'gossip about flatmate who got their taxi paid by ']",S6JL,180,"I'll build a bed <pause dur=""short"" /> and just put the snowman in the bed",13,19_29,"i'll build a bed <pause dur=""short"" /> and just put the snowman in the bed",0
34477,S0084,F,"['relationships', 'tv', 'monarchy']",SK3B,1548,oh,1,19_29,oh,0
15659,S0268,M,['local politics - planning applications; arrangements to attend a forthcoming planning'],S9HC,273,"so what's the latest for that with the erm <pause dur=""short"" /> new England Lodge?",14,50_plus,"so what's the latest for that with the erm <pause dur=""short"" /> new england lodge?",1
22112,S0534,M,"['military experience', 'career', 'meeting his wife', 'places in taunton.']",SDEX,168,no,1,50_plus,no,1
31175,S0198,F,"['study', ""tomorrow's plans"", 'cooking', 'smoking', 'selling cds', 'the internet', 'cataloguing', 'children', 'beer and cigarettes', ""master's degrees"", 'linguistics', 'visiting home', 'family', 'basque', 'jobs', 'south korea', 'grammar', 'budgets', 'pheromones']",SGN8,1343,maybe too much and not enough at the same time I feel like a student on erm finals week in Korea,21,19_29,maybe too much and not enough at the same time i feel like a student on erm finals week in korea,0
14909,S0355,M,"['scottish referendum', 'job interview', 'colleague', 'my daughter', 'present personal situation.']",S9EP,714,wow amazing,2,50_plus,wow amazing,1
57519,S0427,M,"[""how was your weekend; football players' young children; snooker players; gardening; marking students' work; entry ino the police force and the armed forces""]",SVN6,16,terribly disappointing,2,50_plus,terribly disappointing,1
21076,S0426,M,['football; likeable teams; likeable sportsmen; cricket; students who went on to fame; tickets & affordability; holidays; ryanair & easyjet; university open days.'],SD8A,392,right right,2,50_plus,right right,1
37875,S0486,F,"['visit to china', 'people canoeing on the river exe', 'politics in china', 'and population concerns in england', 'losing our national identity.']",SLMB,132,and she would never take it out and put it on show because she'd found out it was an opium pipe,22,50_plus,and she would never take it out and put it on show because she'd found out it was an opium pipe,1
18111,S0670,M,"['game shows', 'media and sociology ']",SAVH,3,she had very <unclear /> lips,5,19_29,she had very <unclear /> lips,0
14256,S0355,M,"['scottish referendum', 'job interview', 'colleague', 'my daughter', 'present personal situation.']",S9EP,61,well they're probably not there to er she's a policewoman is she?,15,50_plus,well they're probably not there to er she's a policewoman is she?,1
26539,S0679,F,"['making a shopping list', 'ages on birthday cards', 'buying calendar fobs', 'art and craft at school', 'other things from primary school', 'hockey boots', 'subjects for study at university – sound recording', 'wider take on social history', 'changes in computers and computing', 'passing computers to computing museum', 'volunteering at computing museum']",SEVC,107,yes,1,50_plus,yes,1
37609,S0681,M,"['discussing the past day', 'wicken fen nature reserve', 'online banking', 'savings and interest', 'housing and issues', 'issues about dave’s front door and door keys', 'mapping genotypes', 'planning the next day', 'christmas cards', 'choosing and delivering a christmas present to friend', 'issues with my mobility rollator', 'changing battery in electric candle', 'christmas lists']",SLJ5,699,to open it out you mean?,7,50_plus,to open it out you mean?,1
4844,S0013,F,['no info'],S45F,325,so they hide up,4,50_plus,so they hide up,1
40982,S0202,F,"['friendship', 'paedophiles', 'guitars', 'bands', 'hobbies']",SMSW,96,yeah,1,19_29,yeah,0
13341,S0195,M,"['linguistics recording', 'friends', 'pregnancy', 'reunions', 'colloquialisms', 'post', 'chores', 'money and budgets', 'salary', 'marriage', 'joint bank accounts', 'south korea', 'education', 'tv', 'shopping', 'weather', 'childbirth', 'children', 'future plans', 'living abroad', 'university', 'form filling', 'accent', 'spanish', 'cigarettes', 'cost of living', 'old jobs', '']",S97Z,1745,no,1,19_29,no,0
56050,S0041,F,"['food', 'identity', 'friends']",SV2V,903,but I'm not there,5,19_29,but i'm not there,0
65505,S0266,F,['how to overcome problem of strings breaking; methods involved (including using cable ties); materials/dimensions/positioning/weight; costing; trailing the ideas; discussion on the use of the word ‘fleet’; use of product in primary school v. secondary school; cutting ear lobe and stripe in hair by mistake; marketing the idea; dragons’ den; resulting new haircut...'],SZNP,95,<unclear /> primary school?,4,50_plus,<unclear /> primary school?,1
